user_id,product_category,user_profile,context,content,rating,user_mood,created_at
u_69a41a68,猫粮,敏感肌/小白,用了三天就坏了/过敏了,作为一名敏感肌/小白，遇到用了三天就坏了/过敏了的情况，我对这个猫粮非常不满意，甚至让我感到很Sad。,1,Sad,2026-02-26
u_170ad5c3,猫粮,吃瓜群众,和宣传完全不符,作为一名吃瓜群众，遇到和宣传完全不符的情况，我对这个猫粮非常不满意，甚至让我感到很Neutral/Sarcastic。,1,Neutral/Sarcastic,2026-02-19
u_cdfc6e8d,零食大礼包,敏感肌/小白,和宣传完全不符,买来给小孩子吃的，结果和宣传完全不符！仔细一看日期居然是临期产品，太缺德了！,2,Sad,2026-02-26
u_30941cd4,零食大礼包,成分党/技术宅,明天要送人，结果包装烂了,明天要送人，结果包装烂了。说是大礼包，其实全是用便宜的难吃的凑数，关键味道还发苦发馊。,1,Critical,2026-03-06
u_ab11b6e7,扫地机器人,敏感肌/小白,刚打开就发现是二手的,作为一名敏感肌/小白，遇到刚打开就发现是二手的的情况，我对这个扫地机器人非常不满意，甚至让我感到很Sad。,2,Sad,2026-02-23
u_485537a7,运动跑鞋,忠实粉,用了三天就坏了/过敏了,作为一名忠实粉，遇到用了三天就坏了/过敏了的情况，我对这个运动跑鞋非常不满意，甚至让我感到很Disappointed。,2,Disappointed,2026-02-18
u_40a029e3,运动跑鞋,急用党,用了三天就坏了/过敏了,作为一名急用党，遇到用了三天就坏了/过敏了的情况，我对这个运动跑鞋非常不满意，甚至让我感到很Anxious。,2,Anxious,2026-02-24
u_bd32c79c,智能耳机,急用党,和宣传完全不符,佩戴耳朵痛，和宣传完全不符，这设计完全不符合人体工学，触控失效更是常有的事。,2,Anxious,2026-03-04
u_7bfbc440,机械键盘,忠实粉,客服态度极差，不给退款,作为一名忠实粉，遇到客服态度极差，不给退款的情况，我对这个机械键盘非常不满意，甚至让我感到很Disappointed。,2,Disappointed,2026-03-05
u_1b4bf930,运动跑鞋,敏感肌/小白,客服态度极差，不给退款,作为一名敏感肌/小白，遇到客服态度极差，不给退款的情况，我对这个运动跑鞋非常不满意，甚至让我感到很Sad。,2,Sad,2026-02-26
u_70243999,零食大礼包,成分党/技术宅,刚打开就发现是二手的,这家的零食不敢买了，刚打开就发现是二手的。巧克力包装被压扁瘪了不说，有一包居然爬出一条虫！！,1,Critical,2026-02-17
u_90d98bca,机械键盘,敏感肌/小白,客服态度极差，不给退款,作为一名敏感肌/小白，遇到客服态度极差，不给退款的情况，我对这个机械键盘非常不满意，甚至让我感到很Sad。,2,Sad,2026-02-13
u_d7dcc753,扫地机器人,暴躁老哥,明天要送人，结果包装烂了,作为一名暴躁老哥，遇到明天要送人，结果包装烂了的情况，我对这个扫地机器人非常不满意，甚至让我感到很Angry。,1,Angry,2026-02-19
u_e06cd894,猫粮,急用党,价格比别家贵，质量还不行,作为一名急用党，遇到价格比别家贵，质量还不行的情况，我对这个猫粮非常不满意，甚至让我感到很Anxious。,1,Anxious,2026-02-16
u_faebb8dd,零食大礼包,敏感肌/小白,用了三天就坏了/过敏了,买来给小孩子吃的，结果用了三天就坏了/过敏了！仔细一看日期居然是临期产品，太缺德了！,1,Sad,2026-02-20
u_23d9c41a,保温杯,急用党,价格比别家贵，质量还不行,作为一名急用党，遇到价格比别家贵，质量还不行的情况，我对这个保温杯非常不满意，甚至让我感到很Anxious。,2,Anxious,2026-03-14
u_2e03804a,机械键盘,吃瓜群众,客服态度极差，不给退款,作为一名吃瓜群众，遇到客服态度极差，不给退款的情况，我对这个机械键盘非常不满意，甚至让我感到很Neutral/Sarcastic。,2,Neutral/Sarcastic,2026-03-02
u_9145c3bd,零食大礼包,暴躁老哥,价格比别家贵，质量还不行,本来高高兴兴拆快递，价格比别家贵，质量还不行。肉脯吃了一口口感特别奇怪像坏了一样。,2,Angry,2026-02-22
u_de2fdb5f,洗面奶,忠实粉,客服态度极差，不给退款,我是大干皮敏感肌，客服态度极差，不给退款，现在脸上红一大片，又痒又痛，太难受了呜呜呜。,1,Disappointed,2026-02-28
u_0e5a493d,运动跑鞋,忠实粉,价格比别家贵，质量还不行,作为一名忠实粉，遇到价格比别家贵，质量还不行的情况，我对这个运动跑鞋非常不满意，甚至让我感到很Disappointed。,1,Disappointed,2026-03-03
u_221dadf2,机械键盘,暴躁老哥,用了三天就坏了/过敏了,作为一名暴躁老哥，遇到用了三天就坏了/过敏了的情况，我对这个机械键盘非常不满意，甚至让我感到很Angry。,2,Angry,2026-02-24
u_c6a0c613,智能耳机,暴躁老哥,明天要送人，结果包装烂了,降噪效果不好，明天要送人，结果包装烂了，戴上和没戴一样，电流杂音还很大。,1,Angry,2026-02-22
u_2c7edab5,扫地机器人,吃瓜群众,用了三天就坏了/过敏了,作为一名吃瓜群众，遇到用了三天就坏了/过敏了的情况，我对这个扫地机器人非常不满意，甚至让我感到很Neutral/Sarcastic。,1,Neutral/Sarcastic,2026-03-07
